campaign_id,campaign_name,description,campaign_goal,target_audience_criteria,overall_start_date,overall_end_date,campaign_status,overall_budget,total_campaign_cost_planned,total_campaign_cost_actual,cost_per_piece_planned,cost_per_piece_actual,printing_cost_actual,postage_cost_actual,data_cost_actual,other_costs_actual,cell_no,cell_description,assigned_creative_id,assigned_offer_code,campaign_total_mailed,campaign_total_responses,campaign_total_conversions,campaign_total_conversion_value,mail_drop_id,mailing_week_start_date,planned_send_date,actual_send_date,total_pieces_sent_this_week,total_campaign_pieces_sent,total_campaign_responses,overall_response_rate,total_campaign_conversions,overall_conversion_rate,total_campaign_conversion_value,average_conversion_value,campaign_roi
CAM0011,Fall Campaign 2025-01,Marketing initiative focused on customer reactivation through targeted messaging and offers,Brand loyalty program,Young professionals in Metropolitan zones who are High-value customers,2025-01-18,2025-03-31,Completed,20876.750990838194,18509.68579245973,19930.142282424462,0.6624323882492209,0.7132682800953569,9198.531588806341,7472.407180523372,2955.697207540453,303.5063055542969,D3,Target segment Value,CRxaHSrQ,OFFfocN,27942,667,132,105743.60390093594,MDhpUyggVM,2025-01-18,2025-01-19,2025-01-26,27942,27942,667,2.39,132,19.86,105743.6,801.09,430.57
CAM0012,Holiday Campaign 2023-07,Marketing initiative focused on customer feedback initiative through targeted messaging and offers,Launch new product,Families in Metropolitan zones who are Frequent shoppers,2023-07-24,2023-09-21,Completed,45786.43459837876,37450.61686513519,42222.51106687396,1.8124481858943615,2.0433872654926177,15483.030739231759,22200.897947885187,3163.303570203748,1375.278809553267,U3,Target segment Standard,CRen0Z7X,OFFAkFx,20663,1847,114,6368.060846435985,MD0kehy1qg,2023-07-24,2023-07-30,2023-07-27,20663,20663,1847,8.94,114,6.2,6368.06,55.86,-84.92
CAM0013,Fall Campaign 2023-05,Marketing initiative focused on increase brand awareness through targeted messaging and offers,Boost customer retention,Business owners in Rural communities who are High-value customers,2023-05-20,2023-07-14,Completed,31199.489349126696,27257.17921272081,24705.22180952272,0.6280600754100512,0.5692578586954243,14765.91622437389,1897.5254018819871,4422.420228096442,3619.3599551704037,U9,Target segment Value,CREM8dPY,OFFcOIp,43399,5574,757,637439.67889929,MDhNEvPcnh,2023-05-20,2023-05-27,2023-05-28,43399,43399,5574,12.84,757,13.59,637439.68,842.06,2480.18
CAM0014,Winter Campaign 2026-01,Marketing initiative focused on launch new product through targeted messaging and offers,Boost customer retention,Seniors in Urban areas who are Inactive customers,2026-01-24,2026-03-09,Planned,13389.388628036826,12513.319843977682,10831.095087713027,0.6077377291878427,0.5260366725455574,1042.2696066542123,4672.238797264819,3734.8459346346567,1381.7407491593387,U4,Target segment Control,CRyznd3J,OFFQpg4,20590,1189,365,65682.21022007565,MDC9LCtI6U,2026-01-24,2026-01-26,2026-02-01,20590,20590,1189,5.77,365,30.72,65682.21,179.95,506.42
CAM0015,Summer Campaign 2024-10,Marketing initiative focused on increase brand awareness through targeted messaging and offers,Market expansion,Business owners in Suburban regions who are Recent purchasers,2024-10-12,2024-11-29,Completed,40988.70647853978,34333.14497528214,37463.38432295229,1.0021349963596655,1.09350216937981,4524.195528020653,23538.014745252287,8945.90974697334,455.2643027060113,Z7,Target segment Test,CRsDWL3Q,OFFLtrs,34260,346,117,55426.97003739353,MDvNjoIrqe,2024-10-12,2024-10-16,2024-10-13,34260,34260,346,1.01,117,33.84,55426.97,473.73,47.95
CAM0016,Winter Campaign 2025-04,Marketing initiative focused on drive customer acquisition through targeted messaging and offers,Seasonal promotion,Seniors in Rural communities who are High-value customers,2025-04-14,2025-06-25,Active,29434.980770987033,24095.100159928377,24481.048176247095,0.5408916461249551,0.5495554846846498,6666.9687887022865,13230.7769287352,2603.0018707497798,1980.3005880598282,Y4,Target segment Premium,CRPVUF3V,OFFQuBJ,44547,4514,1109,415988.19535838667,MDgO1h5wcf,2025-04-14,2025-04-20,2025-04-19,44547,44547,4514,10.13,1109,24.57,415988.2,375.1,1599.23
CAM0017,Winter Campaign 2023-10,Marketing initiative focused on seasonal promotion through targeted messaging and offers,Increase brand awareness,Students in Rural communities who are High-value customers,2023-10-16,2023-12-17,Completed,52995.73847827909,49827.246220537774,38673.164124465,1.3579496421807367,1.0539657189236367,9087.42423069695,20144.593050664225,4271.184144094158,5169.962699009666,E7,Target segment Test,CR1h36V2,OFFmiRQ,36693,3277,670,341712.991922094,MDPZ2oVMCv,2023-10-16,2023-10-21,2023-10-22,36693,36693,3277,8.93,670,20.47,341712.99,510.02,783.59
CAM0018,Holiday Campaign 2024-12,Marketing initiative focused on launch new product through targeted messaging and offers,Brand loyalty program,Young professionals in Metropolitan zones who are Recent purchasers,2024-12-25,2025-02-25,Completed,12519.84378782574,11600.944878848757,8294.605692453268,0.2995879678446597,0.21420359198546776,1518.8564009851925,5015.004877876554,1092.7077212712775,668.0366923202437,M7,Target segment Premium,CRoHRJ4L,OFFr2SD,38723,2869,611,84295.64651896161,MDQhMF8rjQ,2024-12-25,2025-01-01,2024-12-28,38723,38723,2869,7.41,611,21.3,84295.65,137.96,916.27
CAM0019,Spring Campaign 2024-07,Marketing initiative focused on customer reactivation through targeted messaging and offers,Boost customer retention,Business owners in Suburban regions who are Recent purchasers,2024-07-29,2024-09-19,Completed,18364.99287599384,16750.354211693197,13697.644482593572,3.140887720174985,2.5684688697906566,4203.515921559842,6377.41407497569,1382.7964796690585,1733.9180063889835,A7,Target segment Test,CRnkUDaD,OFFoDuT,5333,615,46,27445.2383523893,MDJHXTS4Y5,2024-07-29,2024-07-31,2024-08-05,5333,5333,615,11.54,46,7.64,27445.24,596.64,100.36
CAM0020,Special Campaign 2025-12,Marketing initiative focused on market expansion through targeted messaging and offers,Market expansion,Seniors in Metropolitan zones who are Inactive customers,2025-12-09,2026-03-01,Planned,25571.413231007107,21034.10613695548,23384.111454952577,0.4817044413721312,0.5355221786962987,6517.414382379589,13366.20604401668,2297.824885813583,1202.6661427427207,X2,Target segment Premium,CRW7uFrC,OFFN86Z,43666,5312,576,182510.35818580203,MDSCXadeof,2025-12-09,2025-12-15,2025-12-17,43666,43666,5312,12.17,576,10.85,182510.36,316.86,680.49
CAM0021,Special Campaign 2026-03,Marketing initiative focused on increase brand awareness through targeted messaging and offers,Cross-selling campaign,Business owners in Urban areas who are Recent purchasers,2026-03-20,2026-07-22,Planned,49575.59212650416,46615.21320891983,35000.75833488442,5.225334963448025,3.9234119868719226,16139.151896113746,16751.80151844945,1256.7285350024515,853.0763853187657,M2,Target segment Premium,CRv7AzUh,OFFL87D,8921,993,369,84628.87383351427,MDmuXKbkus,2026-03-20,2026-03-23,2026-03-26,8921,8921,993,11.13,369,37.22,84628.87,229.35,141.79
CAM0022,Winter Campaign 2024-05,Marketing initiative focused on customer feedback initiative through targeted messaging and offers,Boost customer retention,Business owners in Metropolitan zones who are Frequent shoppers,2024-05-21,2024-07-15,Completed,59574.26645832039,49694.26615575236,36892.85695207885,9.170375743818484,6.808056274603959,9568.667687359266,20750.436613186932,2075.578749087296,4498.173902445354,U4,Target segment Control,CRThWL99,OFFThHJ,5419,199,76,61255.59257946602,MDg0XfHZtK,2024-05-21,2024-05-28,2024-05-26,5419,5419,199,3.69,76,38.4,61255.59,805.99,66.04
CAM0023,Summer Campaign 2025-04,Marketing initiative focused on cross-selling campaign through targeted messaging and offers,Market expansion,Students in Rural communities who are Recent purchasers,2025-04-07,2025-08-18,Active,16809.684614314927,15550.48261773887,16417.409770796934,0.3533799026869417,0.37308055381881455,9244.487667647621,2482.9323887630994,4566.70400573262,123.28570865359272,Q6,Target segment Control,CRYz7t4S,OFFXZyK,44005,2842,260,181811.40806639154,MDDFthkHJz,2025-04-07,2025-04-13,2025-04-15,44005,44005,2842,6.46,260,9.17,181811.41,699.27,1007.43
CAM0024,Special Campaign 2024-08,Marketing initiative focused on market expansion through targeted messaging and offers,Brand loyalty program,Young professionals in Suburban regions who are High-value customers,2024-08-29,2024-10-22,Completed,8314.80104686999,7788.787822436373,8803.984348449781,0.1947245636750012,0.22010511133902802,1195.4528212380121,3910.1785387882014,3166.0045974543964,532.3483909691711,F2,Target segment Standard,CR7icA2i,OFFcUwW,39999,3466,766,630787.8999537072,MDKCb6zhg8,2024-08-29,2024-08-30,2024-09-05,39999,39999,3466,8.67,766,22.12,630787.9,823.48,7064.8
CAM0025,Special Campaign 2026-03,Marketing initiative focused on launch new product through targeted messaging and offers,Seasonal promotion,Seniors in Suburban regions who are Inactive customers,2026-03-27,2026-06-18,Planned,10304.815749994705,9078.343262335082,8533.349026071737,0.1906934539528868,0.17924567870421865,1099.3115918839626,5496.836594085854,552.1646438501689,1385.0361962517536,J6,Target segment Test,CRDuDkrq,OFFzzhh,47607,3179,1210,196649.81988062809,MDIr6W6jFJ,2026-03-27,2026-03-29,2026-04-06,47607,47607,3179,6.68,1210,38.09,196649.82,162.52,2204.49
CAM0026,Fall Campaign 2023-07,Marketing initiative focused on cross-selling campaign through targeted messaging and offers,Seasonal promotion,Business owners in Urban areas who are Frequent shoppers,2023-07-28,2024-01-02,Completed,18432.346229521227,15073.997720298297,14801.36555428679,3.746023290332579,3.678271758023556,1822.76414648957,8380.301538813244,1488.196749459593,3110.103119524381,K8,Target segment Premium,CRayFH9P,OFFllUT,4024,78,17,16320.124491356373,MDe5Nlj8MP,2023-07-28,2023-07-29,2023-07-29,4024,4024,78,1.96,17,22.11,16320.12,960.01,10.26
CAM0027,Fall Campaign 2023-07,Marketing initiative focused on increase brand awareness through targeted messaging and offers,Launch new product,Seniors in Rural communities who are High-value customers,2023-07-21,2023-12-02,Completed,49412.28425823742,44839.34067768614,37045.69123969473,0.9543127884409428,0.7884410513705089,16789.91697927515,14021.802653311035,2648.3909811760727,3585.5806259324763,O2,Target segment Control,CRtQVTRj,OFFJNHj,46986,3935,1285,215223.76552432048,MDV04HZgr2,2023-07-21,2023-07-24,2023-07-30,46986,46986,3935,8.38,1285,32.67,215223.77,167.49,480.97
CAM0028,Summer Campaign 2024-06,Marketing initiative focused on seasonal promotion through targeted messaging and offers,Drive customer acquisition,Families in Rural communities who are Inactive customers,2024-06-04,2024-09-07,Completed,30076.841897241924,25455.233947678145,24099.9930144256,1.4705507768733763,1.392258406379295,9159.843334286126,11610.828275297978,2831.668067210281,497.6533376312129,F5,Target segment Premium,CRDRfFam,OFFIouc,17310,2054,792,535422.6335671621,MDxjTzMOVo,2024-06-04,2024-06-11,2024-06-08,17310,17310,2054,11.87,792,38.57,535422.63,676.04,2121.67
CAM0029,Summer Campaign 2024-06,Marketing initiative focused on increase brand awareness through targeted messaging and offers,Boost customer retention,Business owners in Rural communities who are High-value customers,2024-06-21,2024-11-28,Completed,75374.57555729224,63409.997304635464,58279.412069535814,2.655360021132138,2.4405113931966422,15982.772054205281,27952.846564566607,9457.793569655265,4885.999881108663,F5,Target segment Test,CRskdAlO,OFFerpT,23880,3462,1325,903489.9462535924,MDjg53t26n,2024-06-21,2024-06-28,2024-06-24,23880,23880,3462,14.5,1325,38.3,903489.95,681.88,1450.27
CAM0030,Winter Campaign 2024-05,Marketing initiative focused on customer reactivation through targeted messaging and offers,Boost customer retention,Students in Metropolitan zones who are High-value customers,2024-05-08,2024-06-17,Completed,15516.437677649807,12579.323945887176,9855.861423859456,0.2947219892668379,0.23091376748651554,3828.6591219279553,3403.6667825823606,2137.9709272267764,485.5645921223641,B6,Target segment Test,CRHXzB12,OFFOgPM,42682,4138,1120,109422.14650006706,MDXEbXLwCJ,2024-05-08,2024-05-11,2024-05-14,42682,42682,4138,9.7,1120,27.08,109422.15,97.7,1010.22
CAM0031,Holiday Campaign 2025-08,Marketing initiative focused on launch new product through targeted messaging and offers,Brand loyalty program,Seniors in Urban areas who are Inactive customers,2025-08-25,2026-01-16,Planned,22600.151719766367,19351.465729243795,14312.692392522265,0.5755253904723946,0.42566893863080735,6407.565975481935,4575.673436899364,2470.906511951226,858.546468189739,R7,Target segment Value,CRP5J4m5,OFF51KT,33624,2526,676,441981.6696482496,MD5iFlW23s,2025-08-25,2025-08-31,2025-09-01,33624,33624,2526,7.51,676,26.8,441981.67,653.82,2988.04
CAM0032,Summer Campaign 2025-10,Marketing initiative focused on launch new product through targeted messaging and offers,Brand loyalty program,Young professionals in Suburban regions who are Frequent shoppers,2025-10-24,2025-12-29,Planned,39689.310945459416,34335.30027301128,25780.28606006458,1.7228812420598765,1.2936066064561482,6130.228144694945,13176.22256719607,6074.037771464896,399.797576708667,E2,Target segment Premium,CR4TKCfr,OFFAdxz,19929,941,272,100734.41014339821,MDlS1ft96O,2025-10-24,2025-10-29,2025-10-31,19929,19929,941,4.73,272,28.99,100734.41,370.35,290.74
CAM0033,Summer Campaign 2023-07,Marketing initiative focused on brand loyalty program through targeted messaging and offers,Customer feedback initiative,Seniors in Metropolitan zones who are High-value customers,2023-07-06,2023-08-20,Completed,20050.644047749913,17953.66007079679,16764.233122688933,0.6733548389452345,0.6287451945650877,675.667850884546,12549.464055632981,1787.4199299639245,1751.6812862074805,E1,Target segment Control,CRti92x9,OFFkmVV,26663,2300,239,49610.90918253415,MDJwcztFRN,2023-07-06,2023-07-12,2023-07-07,26663,26663,2300,8.63,239,10.4,49610.91,207.58,195.93
CAM0034,Summer Campaign 2024-01,Marketing initiative focused on customer reactivation through targeted messaging and offers,Boost customer retention,Students in Urban areas who are High-value customers,2024-01-12,2024-04-14,Completed,31155.345267889217,25855.214194662985,18611.45095041122,1.5177701317677126,1.0925418814447445,3615.3956669347804,13719.81378557491,389.4093897529218,886.8321081486107,N3,Target segment Premium,CRvjBbyC,OFFiz9g,17035,1156,164,125899.24109882739,MDACYzlUAi,2024-01-12,2024-01-17,2024-01-21,17035,17035,1156,6.79,164,14.19,125899.24,767.68,576.46
CAM0035,Fall Campaign 2025-08,Marketing initiative focused on customer feedback initiative through targeted messaging and offers,Customer feedback initiative,Families in Rural communities who are Inactive customers,2025-08-03,2025-12-14,Planned,6137.462603745464,5360.562318452966,6024.267142267328,0.7574625291017332,0.8512458869955247,916.7462939592639,3204.260041794118,236.39717661835127,1666.863629895595,Z7,Target segment Test,CR1gIX5L,OFFnzuL,7077,156,37,12551.981467852334,MD588N5r85,2025-08-03,2025-08-05,2025-08-09,7077,7077,156,2.21,37,23.79,12551.98,339.24,108.36
CAM0036,Holiday Campaign 2024-10,Marketing initiative focused on boost customer retention through targeted messaging and offers,Market expansion,Students in Rural communities who are Inactive customers,2024-10-31,2025-04-04,Completed,5859.166671239626,5079.188133091326,3910.2876743813026,0.9113920927850935,0.7016486047696577,434.8607713985651,2448.7203711771194,438.2513070195843,588.4552247860338,U8,Target segment Control,CROzfhHs,OFFQjgn,5573,89,21,5827.868280314154,MD7C94itSN,2024-10-31,2024-11-04,2024-11-02,5573,5573,89,1.6,21,23.79,5827.87,277.52,49.04
CAM0037,Fall Campaign 2024-10,Marketing initiative focused on launch new product through targeted messaging and offers,Seasonal promotion,Students in Rural communities who are Recent purchasers,2024-10-25,2024-12-25,Completed,46823.911152548164,40901.78626500149,30413.561893674523,18.90101028881769,14.054326198555694,2903.884707752605,21013.1472884639,3480.9627071959976,3015.5671902620193,Z9,Target segment Control,CR4DTWjB,OFFvT1V,2164,189,57,21598.28349993753,MDtbuGXxsm,2024-10-25,2024-10-26,2024-11-04,2164,2164,189,8.76,57,30.38,21598.28,378.92,-28.98
CAM0038,Special Campaign 2024-04,Marketing initiative focused on market expansion through targeted messaging and offers,Increase brand awareness,Business owners in Suburban regions who are Frequent shoppers,2024-04-12,2024-08-23,Completed,15267.00928381768,14413.956836139807,16485.24539332785,0.6294029446810099,0.7198482770764529,9990.827496634061,2798.2814137838036,823.5055875570663,2872.630895352917,I1,Target segment Premium,CRd5igQY,OFFPsOI,22901,384,25,10699.362557100256,MDjVTHzCd6,2024-04-12,2024-04-13,2024-04-18,22901,22901,384,1.68,25,6.53,10699.36,427.97,-35.1
CAM0039,Winter Campaign 2025-02,Marketing initiative focused on market expansion through targeted messaging and offers,Seasonal promotion,Young professionals in Rural communities who are Frequent shoppers,2025-02-06,2025-04-02,Completed,14048.785048731894,12330.523674014523,13787.447347917612,2.461673722103119,2.75253490675137,611.978473474663,12025.770683535195,816.6380304723185,333.06016043543553,X1,Target segment Control,CRYoWRjU,OFFlJ3E,5009,262,68,50148.51184232396,MD6vuCAxL1,2025-02-06,2025-02-10,2025-02-13,5009,5009,262,5.24,68,26.22,50148.51,737.48,263.73
CAM0040,Fall Campaign 2024-11,Marketing initiative focused on cross-selling campaign through targeted messaging and offers,Seasonal promotion,Young professionals in Rural communities who are Frequent shoppers,2024-11-10,2025-01-20,Completed,26116.845687165627,20984.81431028245,24372.279586860896,0.5256585333604481,0.6105127523574283,14782.440535718259,5794.9175178423375,677.8198877888439,3117.10164551146,C5,Target segment Premium,CRW32koN,OFFvRqZ,39921,3453,678,187472.68641378538,MDw10QFmyK,2024-11-10,2024-11-17,2024-11-14,39921,39921,3453,8.65,678,19.64,187472.69,276.51,669.2
CAM0041,Spring Campaign 2026-01,Marketing initiative focused on launch new product through targeted messaging and offers,Cross-selling campaign,Seniors in Rural communities who are Recent purchasers,2026-01-05,2026-03-21,Planned,68717.41898618662,57973.441337819066,46919.54096353368,1.756504812538072,1.4215888793677829,17196.857242620492,17889.02188749554,8533.933965255843,3299.7278681618072,U2,Target segment Value,CRIakS4w,OFF46IG,33005,1734,210,178282.7112136266,MD0mkvGzVa,2026-01-05,2026-01-06,2026-01-06,33005,33005,1734,5.25,210,12.15,178282.71,848.97,279.98
CAM0042,Holiday Campaign 2024-12,Marketing initiative focused on drive customer acquisition through targeted messaging and offers,Launch new product,Seniors in Metropolitan zones who are Frequent shoppers,2024-12-30,2025-04-16,Completed,59856.1265188679,50617.05264609122,39220.331166626645,12.211592918236724,9.462082307991952,11701.337568242303,17601.87236371752,6043.241427736945,3873.8798069298796,P3,Target segment Value,CRJeEc9k,OFFFhFP,4145,75,25,2488.1210939823104,MD64NmE7xK,2024-12-30,2025-01-05,2024-12-31,4145,4145,75,1.82,25,34.14,2488.12,99.52,-93.66
CAM0043,Fall Campaign 2024-10,Marketing initiative focused on boost customer retention through targeted messaging and offers,Seasonal promotion,Families in Urban areas who are High-value customers,2024-10-31,2025-02-25,Completed,30192.978046453532,25021.552359777244,24234.355886437163,0.7506090403413003,0.726994326876771,11794.607441066813,4030.5308330310654,6105.936844128357,2303.280768210927,U2,Target segment Standard,CRWq2acM,OFFFQcz,33335,3115,833,569982.7375509065,MDsDaeUyP9,2024-10-31,2024-11-01,2024-11-04,33335,33335,3115,9.35,833,26.76,569982.74,684.25,2251.96
CAM0044,Summer Campaign 2025-03,Marketing initiative focused on customer feedback initiative through targeted messaging and offers,Increase brand awareness,Business owners in Rural communities who are Inactive customers,2025-03-28,2025-09-19,Active,37952.376746429516,35901.47697073552,40172.460054236435,1.0888474151017689,1.218381052233302,5933.9017911139235,27096.04762325311,3572.7468309477567,3569.763808921646,Z8,Target segment Value,CRkutNmV,OFFyQrk,32972,4765,1308,458695.2024837856,MDXhvIPTvU,2025-03-28,2025-04-01,2025-04-02,32972,32972,4765,14.45,1308,27.47,458695.2,350.68,1041.82
CAM0045,Special Campaign 2023-10,Marketing initiative focused on customer feedback initiative through targeted messaging and offers,Customer feedback initiative,Students in Urban areas who are Inactive customers,2023-10-29,2024-03-06,Completed,22664.03686298033,18631.548889720423,15743.129602303514,1.0560905163655154,0.8923664891907671,6484.329050052463,5798.326428522195,2953.131228297727,507.34289543112976,U8,Target segment Test,CRPbpNjy,OFFyzAv,17642,2601,580,188075.97843392403,MDnrqb0vjr,2023-10-29,2023-11-01,2023-10-31,17642,17642,2601,14.75,580,22.32,188075.98,324.27,1094.65
CAM0046,Winter Campaign 2025-01,Marketing initiative focused on customer feedback initiative through targeted messaging and offers,Customer reactivation,Young professionals in Suburban regions who are Frequent shoppers,2025-01-30,2025-07-18,Active,45854.93421388974,38063.78307218512,31462.093516374553,0.9431767245381253,0.7795944573772716,16652.420800614276,8991.24221946154,3482.2796300578957,2336.1508662408432,S2,Target segment Premium,CRp47TY1,OFF2WI0,40357,3744,480,39594.29463842885,MDmsZWJVyp,2025-01-30,2025-02-06,2025-02-08,40357,40357,3744,9.28,480,12.84,39594.29,82.49,25.85
CAM0047,Winter Campaign 2025-10,Marketing initiative focused on seasonal promotion through targeted messaging and offers,Seasonal promotion,Seniors in Rural communities who are Inactive customers,2025-10-11,2026-02-16,Planned,25791.362183579782,20865.309155407507,21030.33622623583,1.2107763683286432,1.2203525924816243,4840.327012037122,14091.649624594274,1113.4752506392906,984.8843389651464,K6,Target segment Control,CREC5IKK,OFFiaIS,17233,1080,95,13404.971345966762,MD9J4PCkjE,2025-10-11,2025-10-12,2025-10-14,17233,17233,1080,6.27,95,8.83,13404.97,141.1,-36.26
CAM0048,Holiday Campaign 2023-05,Marketing initiative focused on cross-selling campaign through targeted messaging and offers,Customer feedback initiative,Business owners in Suburban regions who are High-value customers,2023-05-11,2023-07-13,Completed,30564.906396324077,25115.624537581385,19883.394249548146,0.8825195733364273,0.6986680575406075,703.6072380790263,13254.626337975807,3301.117633703122,2624.0430397901896,M3,Target segment Test,CRYBaGpM,OFFbprE,28459,3569,673,430854.56682576507,MDte0aSdLM,2023-05-11,2023-05-13,2023-05-15,28459,28459,3569,12.54,673,18.88,430854.57,640.2,2066.91
